,DOLocationID,Count 
0,1,17865
1,2,4
2,3,635
3,4,46879
4,5,52
5,6,180
6,7,44419
7,8,130
8,9,567
9,10,3558
10,11,681
11,12,6087
12,13,84241
13,14,6716
14,15,876
15,16,1333
16,17,12871
17,18,1386
18,19,543
19,20,828
20,21,1124
21,22,1619
22,23,161
23,24,31067
24,25,17733
25,26,1976
26,27,92
27,28,1986
28,29,823
29,30,33
30,31,386
31,32,765
32,33,26869
33,34,950
34,35,1278
35,36,7112
36,37,11682
37,38,613
38,39,1791
39,40,10813
40,41,63818
41,42,43920
42,43,107161
43,44,41
44,45,26572
45,46,153
46,47,976
47,48,261989
48,49,16443
49,50,118368
50,51,989
51,52,7949
52,53,907
53,54,2712
54,55,822
55,56,2439
56,57,418
57,58,186
58,59,46
59,60,678
60,61,14510
61,62,3947
62,63,862
63,64,686
64,65,17669
65,66,13341
66,67,1404
67,68,210080
68,69,4190
69,70,3370
70,71,1538
71,72,1467
72,73,477
73,74,77122
74,75,116286
75,76,2365
76,77,682
77,78,1033
78,79,225010
79,80,15364
80,81,530
81,82,7805
82,83,3504
83,84,56
84,85,1304
85,86,470
86,87,75153
87,88,36968
88,89,7391
89,90,144227
90,91,1540
91,92,3880
92,93,1042
93,94,763
94,95,10586
95,96,137
96,97,15860
97,98,903
98,99,3
99,100,149059
100,101,520
101,102,1148
102,105,9
103,106,4729
104,107,202929
105,108,561
106,109,83
107,111,143
108,112,21805
109,113,132947
110,114,101922
111,115,138
112,116,26793
113,117,416
114,118,154
115,119,1988
116,120,392
117,121,1443
118,122,409
119,123,1278
120,124,888
121,125,49161
122,126,1325
123,127,6983
124,128,526
125,129,15828
126,130,2339
127,131,1111
128,132,78312
129,133,2780
130,134,2122
131,135,1932
132,136,1264
133,137,137880
134,138,101473
135,139,622
136,140,168323
137,141,225719
138,142,244647
139,143,122970
140,144,85953
141,145,30498
142,146,12401
143,147,993
144,148,100144
145,149,1076
146,150,493
147,151,77545
148,152,17297
149,153,364
150,154,75
151,155,1045
152,156,67
153,157,2885
154,158,94106
155,159,3353
156,160,2640
157,161,347092
158,162,290085
159,163,221606
160,164,203072
161,165,1856
162,166,72174
163,167,1586
164,168,7987
165,169,1744
166,170,306201
167,171,1302
168,172,115
169,173,2564
170,174,1294
171,175,673
172,176,76
173,177,1852
174,178,744
175,179,14329
176,180,696
177,181,31592
178,182,1112
179,183,467
180,184,52
181,185,1050
182,186,248136
183,187,39
184,188,6596
185,189,9535
186,190,1888
187,191,992
188,192,755
189,193,7402
190,194,651
191,195,3382
192,196,3223
193,197,2083
194,198,4558
195,199,1
196,200,2572
197,201,373
198,202,4051
199,203,752
200,204,57
201,205,1165
202,206,184
203,207,496
204,208,1287
205,209,24123
206,210,1069
207,211,76262
208,212,1245
209,213,1578
210,214,169
211,215,977
212,216,3509
213,217,2885
214,218,1175
215,219,1646
216,220,3314
217,221,169
218,222,341
219,223,19764
220,224,40298
221,225,9063
222,226,23817
223,227,2027
224,228,5658
225,229,171819
226,230,291938
227,231,153836
228,232,45979
229,233,145348
230,234,262178
231,235,1890
232,236,349241
233,237,325255
234,238,191733
235,239,231171
236,240,268
237,241,1515
238,242,976
239,243,16646
240,244,33095
241,245,105
242,246,170098
243,247,3559
244,248,1111
245,249,154771
246,250,820
247,251,157
248,252,1210
249,253,65
250,254,997
251,255,25562
252,256,22864
253,257,4684
254,258,1549
255,259,1084
256,260,10593
257,261,44221
258,262,117011
259,263,177560
260,264,142670
261,265,21367
