,DOLocationID,Count 
0,1,13641
1,2,5
2,3,484
3,4,41338
4,5,47
5,6,145
6,7,38144
7,8,112
8,9,468
9,10,2664
10,11,593
11,12,4831
12,13,74768
13,14,5875
14,15,747
15,16,1066
16,17,10849
17,18,1112
18,19,493
19,20,678
20,21,861
21,22,1387
22,23,175
23,24,28455
24,25,15137
25,26,1799
26,27,68
27,28,1790
28,29,693
29,30,17
30,31,209
31,32,596
32,33,24359
33,34,1015
34,35,914
35,36,5912
36,37,9679
37,38,588
38,39,1345
39,40,9387
40,41,54402
41,42,36097
42,43,99620
43,44,27
44,45,23468
45,46,113
46,47,677
47,48,229434
48,49,14000
49,50,95794
50,51,613
51,52,7033
52,53,756
53,54,2247
54,55,687
55,56,1997
56,57,290
57,58,150
58,59,32
59,60,539
60,61,12376
61,62,3326
62,63,697
63,64,652
64,65,15046
65,66,12036
66,67,1220
67,68,189784
68,69,3420
69,70,2615
70,71,1140
71,72,1099
72,73,406
73,74,63426
74,75,101202
75,76,1686
76,77,463
77,78,785
78,79,200312
79,80,13129
80,81,372
81,82,6965
82,83,3193
83,84,52
84,85,1066
85,86,374
86,87,68120
87,88,32529
88,89,6593
89,90,130014
90,91,1245
91,92,3066
92,93,667
93,94,552
94,95,9973
95,96,108
96,97,13894
97,98,741
98,99,1
99,100,133942
100,101,452
101,102,1024
102,105,9
103,106,4116
104,107,182956
105,108,401
106,109,72
107,111,91
108,112,18913
109,113,124388
110,114,91841
111,115,112
112,116,24771
113,117,384
114,118,118
115,119,1671
116,120,309
117,121,1227
118,122,305
119,123,1195
120,124,708
121,125,45438
122,126,1031
123,127,6255
124,128,498
125,129,13807
126,130,1861
127,131,1073
128,132,61052
129,133,2295
130,134,1808
131,135,1752
132,136,1015
133,137,123942
134,138,85641
135,139,561
136,140,152690
137,141,207189
138,142,228119
139,143,113868
140,144,78065
141,145,26060
142,146,9942
143,147,776
144,148,89866
145,149,946
146,150,391
147,151,72355
148,152,15590
149,153,386
150,154,64
151,155,899
152,156,72
153,157,2287
154,158,84284
155,159,2545
156,160,2303
157,161,318786
158,162,257255
159,163,206226
160,164,180171
161,165,1584
162,166,74328
163,167,1222
164,168,6567
165,169,1450
166,170,272350
167,171,1171
168,172,89
169,173,2249
170,174,945
171,175,682
172,176,53
173,177,1376
174,178,616
175,179,12112
176,180,525
177,181,27432
178,182,881
179,183,348
180,184,43
181,185,839
182,186,222060
183,187,29
184,188,5559
185,189,8484
186,190,1297
187,191,812
188,192,611
189,193,6153
190,194,435
191,195,2730
192,196,2994
193,197,1667
194,198,3813
195,199,5
196,200,2463
197,201,344
198,202,3485
199,203,590
200,204,29
201,205,975
202,206,126
203,207,380
204,208,1007
205,209,21000
206,210,869
207,211,71206
208,212,908
209,213,1137
210,214,120
211,215,809
212,216,2824
213,217,2840
214,218,851
215,219,1305
216,220,3055
217,221,163
218,222,218
219,223,15939
220,224,35847
221,225,7503
222,226,19988
223,227,1639
224,228,4943
225,229,155083
226,230,255428
227,231,141343
228,232,40113
229,233,123065
230,234,242144
231,235,1507
232,236,336938
233,237,301216
234,238,184052
235,239,215562
236,240,215
237,241,1281
238,242,867
239,243,15605
240,244,29918
241,245,81
242,246,166993
243,247,2917
244,248,849
245,249,139828
246,250,616
247,251,112
248,252,1125
249,253,40
250,254,677
251,255,21643
252,256,20026
253,257,3977
254,258,1302
255,259,735
256,260,9026
257,261,38996
258,262,109578
259,263,161856
260,264,121041
261,265,17311
