,DOLocationID,Count 
0,1,17330
1,2,2
2,3,623
3,4,40433
4,5,58
5,6,146
6,7,36616
7,8,189
8,9,724
9,10,4084
10,11,657
11,12,7131
12,13,85667
13,14,6934
14,15,787
15,16,1290
16,17,12210
17,18,1297
18,19,615
19,20,800
20,21,1097
21,22,1684
22,23,200
23,24,29163
24,25,16911
25,26,2013
26,27,96
27,28,2256
28,29,890
29,30,27
30,31,493
31,32,834
32,33,26697
33,34,938
34,35,1500
35,36,7348
36,37,11473
37,38,890
38,39,2030
39,40,9773
40,41,58238
41,42,39433
42,43,110339
43,44,54
44,45,24801
45,46,150
46,47,851
47,48,237868
48,49,15389
49,50,102024
50,51,1289
51,52,7213
52,53,918
53,54,2519
54,55,1198
55,56,2474
56,57,505
57,58,189
58,59,48
59,60,561
60,61,14809
61,62,3998
62,63,928
63,64,777
64,65,17304
65,66,14124
66,67,1411
67,68,194323
68,69,3772
69,70,4080
70,71,1687
71,72,1591
72,73,497
73,74,71529
74,75,103311
75,76,2587
76,77,732
77,78,927
78,79,197570
79,80,14553
80,81,653
81,82,7256
82,83,3497
83,84,58
84,85,1423
85,86,572
86,87,74939
87,88,37674
88,89,7349
89,90,124833
90,91,1762
91,92,3844
92,93,1651
93,94,657
94,95,10363
95,96,162
96,97,14916
97,98,1350
98,99,6
99,100,134079
100,101,607
101,102,1204
102,105,7
103,106,4575
104,107,181770
105,108,559
106,109,101
107,111,110
108,112,19941
109,113,114176
110,114,92362
111,115,116
112,116,25527
113,117,531
114,118,149
115,119,1854
116,120,417
117,121,1383
118,122,392
119,123,1266
120,124,929
121,125,44704
122,126,1087
123,127,6834
124,128,600
125,129,15453
126,130,2787
127,131,1174
128,132,82003
129,133,2651
130,134,2134
131,135,1951
132,136,1278
133,137,123019
134,138,107548
135,139,817
136,140,152970
137,141,204857
138,142,228692
139,143,109691
140,144,79112
141,145,26594
142,146,11402
143,147,976
144,148,93552
145,149,1052
146,150,564
147,151,73156
148,152,15323
149,153,366
150,154,81
151,155,1189
152,156,93
153,157,2647
154,158,88234
155,159,2839
156,160,2441
157,161,334260
158,162,271453
159,163,206159
160,164,184797
161,165,1789
162,166,59801
163,167,1366
164,168,6747
165,169,1761
166,170,282675
167,171,1266
168,172,115
169,173,2550
170,174,1234
171,175,657
172,176,65
173,177,1957
174,178,638
175,179,11759
176,180,661
177,181,29167
178,182,1224
179,183,444
180,184,83
181,185,1045
182,186,234039
183,187,51
184,188,6567
185,189,9141
186,190,1961
187,191,1175
188,192,728
189,193,7513
190,194,1652
191,195,3528
192,196,3156
193,197,2186
194,198,4700
195,200,2758
196,201,332
197,202,4065
198,203,913
199,204,43
200,205,1475
201,206,184
202,207,415
203,208,1296
204,209,23398
205,210,1202
206,211,70287
207,212,1183
208,213,1580
209,214,133
210,215,1167
211,216,3543
212,217,2797
213,218,1455
214,219,2017
215,220,3605
216,221,169
217,222,457
218,223,17033
219,224,34894
220,225,8826
221,226,22231
222,227,1984
223,228,5359
224,229,155685
225,230,270370
226,231,141910
227,232,40284
228,233,132377
229,234,232172
230,235,1768
231,236,325019
232,237,308923
233,238,178441
234,239,212830
235,240,301
236,241,1465
237,242,1000
238,243,17185
239,244,32657
240,245,91
241,246,160386
242,247,4064
243,248,1012
244,249,136849
245,250,883
246,251,108
247,252,1156
248,253,103
249,254,1094
250,255,24173
251,256,21351
252,257,4418
253,258,1582
254,259,915
255,260,9834
256,261,42520
257,262,108109
258,263,163696
259,264,107954
260,265,20907
