DOLocationID,DOLocationID,Count,percent
231,231,881297.0,1.66126
232,232,252360.0,0.4757
233,233,793320.0,1.49542
234,234,1487073.0,2.80315
235,235,10387.0,0.01958
236,236,2110900.0,3.97907
237,237,1954564.0,3.68438
238,238,1136773.0,2.14283
239,239,1342935.0,2.53145
240,240,1532.0,0.00289
241,241,8629.0,0.01627
242,242,5666.0,0.01068
243,243,100152.0,0.18879
244,244,192526.0,0.36291
245,245,558.0,0.00105
246,246,988958.0,1.8642
247,247,22619.0,0.04264
248,248,6161.0,0.01161
249,249,873660.0,1.64686
250,250,4837.0,0.00912
251,251,698.0,0.00132
252,252,7143.0,0.01346
253,253,354.0,0.00067
254,254,5736.0,0.01081
255,255,144011.0,0.27146
256,256,129209.0,0.24356
257,257,26226.0,0.04944
258,258,8916.0,0.01681
259,259,5521.0,0.01041
260,260,59334.0,0.11185
261,261,254342.0,0.47944
262,262,691409.0,1.30332
263,263,1022172.0,1.92681
