,DOLocationID,Count 
0,1,19536
1,2,2
2,3,608
3,4,42127
4,5,63
5,6,175
6,7,38269
7,8,149
8,9,533
9,10,4141
10,11,637
11,12,6413
12,13,86009
13,14,6870
14,15,878
15,16,1369
16,17,12842
17,18,1509
18,19,666
19,20,913
20,21,1181
21,22,1743
22,23,241
23,24,32088
24,25,18098
25,26,2147
26,27,111
27,28,2344
28,29,906
29,30,25
30,31,447
31,32,884
32,33,28170
33,34,978
34,35,1512
35,36,6839
36,37,11541
37,38,690
38,39,2134
39,40,10672
40,41,63617
41,42,43067
42,43,121653
43,44,41
44,45,25925
45,46,156
46,47,902
47,48,240961
48,49,16126
49,50,106884
50,51,1258
51,52,7701
52,53,941
53,54,2535
54,55,1083
55,56,2476
56,57,517
57,58,202
58,59,45
59,60,601
60,61,15479
61,62,3974
62,63,962
63,64,766
64,65,18383
65,66,14354
66,67,1484
67,68,200045
68,69,4314
69,70,3719
70,71,1735
71,72,1722
72,73,555
73,74,74039
74,75,111267
75,76,2737
76,77,709
77,78,968
78,79,202524
79,80,14575
80,81,653
81,82,7763
82,83,3459
83,84,59
84,85,1494
85,86,609
86,87,74578
87,88,38332
88,89,7990
89,90,132752
90,91,1806
91,92,4009
92,93,1362
93,94,744
94,95,10825
95,96,141
96,97,15761
97,98,1126
98,99,6
99,100,139133
100,101,579
101,102,1137
102,104,1
103,105,8
104,106,4938
105,107,187383
106,108,657
107,109,92
108,111,118
109,112,21091
110,113,122421
111,114,95550
112,115,142
113,116,28137
114,117,504
115,118,156
116,119,2276
117,120,441
118,121,1411
119,122,430
120,123,1388
121,124,977
122,125,46783
123,126,1185
124,127,7535
125,128,572
126,129,16215
127,130,2604
128,131,1273
129,132,89350
130,133,2652
131,134,2160
132,135,1988
133,136,1284
134,137,125363
135,138,112335
136,139,874
137,140,166837
138,141,215589
139,142,254084
140,143,120866
141,144,81818
142,145,28253
143,146,11428
144,147,1011
145,148,97897
146,149,1117
147,150,535
148,151,77280
149,152,17047
150,153,394
151,154,87
152,155,1213
153,156,96
154,157,2824
155,158,94352
156,159,2936
157,160,2515
158,161,355856
159,162,277005
160,163,223350
161,164,192887
162,165,1991
163,166,74014
164,167,1504
165,168,7238
166,169,1998
167,170,284728
168,171,1365
169,172,98
170,173,2696
171,174,1268
172,175,730
173,176,60
174,177,2043
175,178,761
176,179,12117
177,180,678
178,181,30457
179,182,1261
180,183,503
181,184,63
182,185,1128
183,186,234707
184,187,55
185,188,6858
186,189,9785
187,190,2128
188,191,1201
189,192,777
190,193,7328
191,194,3075
192,195,4065
193,196,3305
194,197,2237
195,198,4560
196,199,4
197,200,3009
198,201,398
199,202,4075
200,203,948
201,204,54
202,205,1447
203,206,180
204,207,406
205,208,1346
206,209,24112
207,210,1300
208,211,76225
209,212,1185
210,213,1599
211,214,141
212,215,1213
213,216,3851
214,217,2922
215,218,1503
216,219,1971
217,220,3574
218,221,170
219,222,451
220,223,17282
221,224,36573
222,225,9242
223,226,21753
224,227,2155
225,228,5859
226,229,161777
227,230,287947
228,231,148102
229,232,42675
230,233,133613
231,234,246743
232,235,1765
233,236,372120
234,237,353934
235,238,196159
236,239,229344
237,240,287
238,241,1563
239,242,990
240,243,18803
241,244,35399
242,245,105
243,246,164916
244,247,4631
245,248,1117
246,249,146112
247,250,960
248,251,97
249,252,1227
250,253,63
251,254,1120
252,255,25372
253,256,22530
254,257,4525
255,258,1653
256,259,968
257,260,10091
258,261,43870
259,262,118664
260,263,172021
261,264,109639
262,265,22080
